wl_home,fga_home,fg_pct_home,fg3a_home,fg3_pct_home,fta_home,ft_pct_home,oreb_home,dreb_home,stl_home,blk_home,tov_home,fga_away,fg_pct_away,fg3a_away,fg3_pct_away,fta_away,ft_pct_away,oreb_away,dreb_away,stl_away,blk_away,tov_away
W,83,0.482,36,0.333,18,0.778,11,33,8,0,18,87,0.448,36,0.361,16,0.813,9,24,8,3,11
W,90,0.433,37,0.243,27,0.704,8,45,2,0,10,95,0.411,36,0.361,20,0.7,9,40,8,4,7
W,79,0.519,28,0.393,26,0.808,8,32,9,3,14,93,0.419,35,0.2,15,0.867,16,29,6,4,15
W,106,0.434,50,0.28,24,0.542,10,43,5,7,11,91,0.418,35,0.314,34,0.794,9,49,7,4,17
L,88,0.545,24,0.333,7,0.714,8,32,5,1,18,90,0.533,27,0.296,19,0.789,6,28,10,3,10
W,78,0.436,35,0.4,26,0.885,7,36,7,4,19,87,0.379,38,0.158,29,0.759,12,34,10,4,15
L,87,0.471,37,0.243,28,0.75,12,32,8,7,13,87,0.471,36,0.389,27,0.963,9,32,3,5,13
W,92,0.576,54,0.481,10,0.7,11,46,4,4,12,88,0.409,39,0.231,18,0.833,5,27,8,1,7
W,94,0.436,23,0.304,31,0.742,24,41,6,12,18,103,0.369,43,0.279,22,0.818,24,28,11,6,10
W,83,0.53,47,0.362,30,0.867,13,36,3,11,16,110,0.455,23,0.435,26,0.692,25,27,11,2,8
L,86,0.407,28,0.143,31,0.839,12,32,8,4,16,91,0.571,33,0.576,11,0.818,6,39,6,5,12
L,83,0.482,40,0.275,12,0.5,5,34,9,6,13,78,0.436,31,0.452,25,0.72,9,36,7,3,15
L,98,0.449,34,0.206,32,0.875,13,32,6,3,9,93,0.516,33,0.333,31,0.71,11,33,6,1,14
W,105,0.41,44,0.341,27,0.852,16,50,7,8,12,111,0.378,39,0.282,26,0.769,18,44,6,6,11
L,77,0.494,24,0.5,21,0.714,6,45,6,6,20,93,0.398,44,0.273,26,0.846,11,33,15,6,8
W,87,0.494,36,0.444,24,0.833,10,34,7,3,18,85,0.494,27,0.296,25,0.84,8,28,13,2,15
L,93,0.495,24,0.458,20,0.85,8,35,10,4,17,90,0.511,47,0.426,20,0.8,6,38,9,4,15
L,97,0.433,29,0.241,23,0.652,14,29,6,6,10,86,0.558,30,0.533,17,0.882,5,40,7,8,14
L,92,0.467,39,0.308,25,0.52,8,41,7,3,18,99,0.475,30,0.3,22,0.682,10,40,15,3,12
L,85,0.471,30,0.367,23,0.783,8,37,8,3,19,99,0.424,29,0.379,30,0.8,15,35,11,6,10
W,79,0.494,34,0.294,33,0.697,9,31,6,1,11,79,0.456,39,0.359,27,0.704,9,31,9,6,14
W,87,0.494,28,0.393,21,0.81,13,29,10,4,12,89,0.449,33,0.273,19,0.895,16,28,9,4,14
W,79,0.544,40,0.475,27,0.889,3,29,2,7,8,94,0.468,30,0.433,30,0.8,17,28,5,0,7
